age,gender,education,experience_years,race,marital_status,job_type,loan_amount,income,loan_approved
45,Male,Graduate,20,White,Married,Private,15000,85000,1
32,Female,HighSchool,8,Black,Single,Private,8000,32000,0
28,Male,Graduate,5,White,Single,Self-Employed,20000,48000,1
52,Female,Graduate,25,Hispanic,Married,Government,12000,72000,1
38,Male,HighSchool,12,Black,Married,Private,5000,28000,0
41,Female,Masters,18,White,Married,Private,30000,95000,1
29,Male,Graduate,6,Hispanic,Single,Private,10000,42000,0
56,Female,HighSchool,30,White,Married,Government,8000,55000,1
35,Male,Graduate,10,Black,Single,Private,15000,40000,0
47,Female,Masters,22,White,Married,Self-Employed,25000,88000,1
31,Male,HighSchool,7,Hispanic,Married,Private,6000,31000,0
43,Female,Graduate,19,Black,Married,Government,18000,65000,1
27,Male,Graduate,3,White,Single,Private,12000,38000,1
39,Female,HighSchool,15,Hispanic,Single,Private,7000,29000,0
50,Male,Masters,26,White,Married,Private,35000,105000,1
33,Female,Graduate,9,Black,Single,Self-Employed,9000,36000,0
44,Male,Graduate,20,White,Married,Government,20000,78000,1
30,Female,HighSchool,6,Hispanic,Single,Private,5000,27000,0
55,Male,Masters,30,White,Married,Private,40000,115000,1
36,Female,Graduate,11,Black,Married,Government,14000,52000,0
42,Male,HighSchool,18,Hispanic,Married,Private,8000,35000,0
48,Female,Graduate,23,White,Married,Self-Employed,22000,82000,1
26,Male,Graduate,2,Black,Single,Private,11000,33000,0
53,Female,Masters,28,White,Married,Government,28000,98000,1
37,Male,HighSchool,13,Hispanic,Single,Private,6500,30000,0
40,Female,Graduate,16,White,Married,Private,16000,68000,1
34,Male,Graduate,10,Black,Married,Private,13000,44000,0
49,Female,Masters,24,White,Married,Private,32000,102000,1
28,Male,HighSchool,5,Hispanic,Single,Private,4500,26000,0
46,Female,Graduate,21,Black,Married,Government,17000,60000,1
25,Male,Graduate,1,White,Single,Private,9000,35000,1
51,Female,HighSchool,27,Hispanic,Married,Private,7000,32000,0
38,Male,Masters,14,White,Married,Self-Employed,27000,92000,1
32,Female,Graduate,8,Black,Single,Private,10000,38000,0
57,Male,Masters,32,White,Married,Government,38000,118000,1
29,Female,HighSchool,5,Hispanic,Single,Private,5500,28000,0
44,Male,Graduate,20,White,Married,Private,21000,80000,1
35,Female,Graduate,11,Black,Married,Private,12000,46000,0
52,Male,HighSchool,28,White,Married,Government,15000,62000,1
27,Female,Graduate,3,Hispanic,Single,Self-Employed,8000,32000,0
41,Male,Masters,17,White,Married,Private,29000,97000,1
33,Female,HighSchool,9,Black,Single,Private,6000,29000,0
48,Male,Graduate,23,White,Married,Private,24000,84000,1
30,Female,Graduate,6,Hispanic,Married,Government,11000,41000,0
55,Male,Masters,31,White,Married,Self-Employed,42000,120000,1
36,Female,HighSchool,12,Black,Single,Private,7500,31000,0
43,Male,Graduate,19,White,Married,Private,19000,76000,1
28,Female,Graduate,4,Hispanic,Single,Private,9500,34000,0
50,Male,Masters,26,White,Married,Government,31000,100000,1
34,Female,HighSchool,10,Black,Married,Private,6500,30000,0
